country,year,mortality_treatable,household_spending
Australia,2000,83,
Australia,2001,80,
Australia,2002,78,
Australia,2003,74,
Australia,2004,70,
Australia,2005,,
Australia,2006,65,
Australia,2007,62,
Australia,2008,61,
Australia,2009,58,
Australia,2010,56,710.057
Australia,2011,55,730.301
Australia,2012,52,768.307
Australia,2013,51,806.637
Australia,2014,51,819.626
Australia,2015,51,830.095
Australia,2016,49,837.281
Australia,2017,,
Australia,2018,,
Austria,2000,,
Austria,2001,,
Austria,2002,91,
Austria,2003,88,
Austria,2004,82,
Austria,2005,79,
Austria,2006,76,
Austria,2007,72,
Austria,2008,68,
Austria,2009,68,
Austria,2010,65,791.911
Austria,2011,62,814.264
Austria,2012,60,856.832
Austria,2013,59,913.909
Austria,2014,58,927.901
Austria,2015,59,944.011
Austria,2016,58,992.069
Austria,2017,57,1012.016
Austria,2018,,1362.521
Belgium,2000,92,
Belgium,2001,86,
Belgium,2002,86,
Belgium,2003,84,
Belgium,2004,79,
Belgium,2005,78,
Belgium,2006,73,
Belgium,2007,72,
Belgium,2008,70,
Belgium,2009,68,
Belgium,2010,65,697.766
Belgium,2011,63,726.559
Belgium,2012,62,737.745
Belgium,2013,61,784.161
Belgium,2014,56,783.044
Belgium,2015,56,793.802
Belgium,2016,54,833.451
Belgium,2017,,852.155
Belgium,2018,,
Canada,2000,86,
Canada,2001,83,
Canada,2002,81,
Canada,2003,80,
Canada,2004,77,
Canada,2005,76,
Canada,2006,72,
Canada,2007,72,
Canada,2008,71,
Canada,2009,67,
Canada,2010,65,630.946
Canada,2011,63,612.324
Canada,2012,62,615.083
Canada,2013,61,622.42
Canada,2014,60,638.824
Canada,2015,59,648.76
Canada,2016,,698.288
Canada,2017,,721.586
Canada,2018,,749.264
Chile,2000,111,
Chile,2001,113,
Chile,2002,105,
Chile,2003,101,
Chile,2004,99,
Chile,2005,95,
Chile,2006,92,
Chile,2007,91,
Chile,2008,88,
Chile,2009,90,
Chile,2010,90,432.256
Chile,2011,84,467.584
Chile,2012,83,496.161
Chile,2013,85,557.138
Chile,2014,85,600.351
Chile,2015,82,634.172
Chile,2016,78,659.863
Chile,2017,,702.635
Chile,2018,,766.466
Czech Republic,2000,167,
Czech Republic,2001,159,
Czech Republic,2002,157,
Czech Republic,2003,154,
Czech Republic,2004,147,
Czech Republic,2005,139,
Czech Republic,2006,134,
Czech Republic,2007,128,
Czech Republic,2008,124,
Czech Republic,2009,123,
Czech Republic,2010,120,305.189
Czech Republic,2011,110,306.723
Czech Republic,2012,109,319.666
Czech Republic,2013,107,332.654
Czech Republic,2014,98,361.148
Czech Republic,2015,101,377.458
Czech Republic,2016,96,394.78
Czech Republic,2017,95,422.12
Czech Republic,2018,,..
Denmark,2000,106,
Denmark,2001,103,
Denmark,2002,105,
Denmark,2003,100,
Denmark,2004,97,
Denmark,2005,89,
Denmark,2006,86,
Denmark,2007,83,
Denmark,2008,77,
Denmark,2009,75,
Denmark,2010,73,598.453
Denmark,2011,67,606.734
Denmark,2012,64,610.981
Denmark,2013,61,615.343
Denmark,2014,58,624.847
Denmark,2015,59,639.226
Denmark,2016,,654.665
Denmark,2017,,690.292
Denmark,2018,,
Estonia,2000,214,
Estonia,2001,206,
Estonia,2002,198,
Estonia,2003,192,
Estonia,2004,187,
Estonia,2005,169,
Estonia,2006,166,
Estonia,2007,158,
Estonia,2008,148,
Estonia,2009,144,
Estonia,2010,131,298.8
Estonia,2011,122,302.63
Estonia,2012,123,326.016
Estonia,2013,113,369.905
Estonia,2014,116,396.361
Estonia,2015,107,425.434
Estonia,2016,103,456.658
Estonia,2017,,500.377
Estonia,2018,,516.652
Finland,2000,104,
Finland,2001,95,
Finland,2002,93,
Finland,2003,88,
Finland,2004,86,
Finland,2005,82,
Finland,2006,76,
Finland,2007,74,
Finland,2008,71,
Finland,2009,71,
Finland,2010,69,660.476
Finland,2011,65,671.945
Finland,2012,63,682.599
Finland,2013,60,718.33
Finland,2014,58,721.522
Finland,2015,,789.278
Finland,2016,58,824.812
Finland,2017,,834.73
Finland,2018,,848.399
France,2000,72,
France,2001,71,
France,2002,69,
France,2003,68,
France,2004,64,
France,2005,63,
France,2006,61,
France,2007,59,
France,2008,58,
France,2009,57,
France,2010,55,413.759
France,2011,52,426.075
France,2012,51,434.994
France,2013,49,452.488
France,2014,48,456.957
France,2015,48,453.856
France,2016,,462.668
France,2017,,462.72
France,2018,,
Germany,2000,101,
Germany,2001,98,
Germany,2002,96,
Germany,2003,94,
Germany,2004,89,
Germany,2005,86,
Germany,2006,83,
Germany,2007,80,
Germany,2008,77,
Germany,2009,75,
Germany,2010,73,614.277
Germany,2011,71,634.718
Germany,2012,69,661.658
Germany,2013,69,649.343
Germany,2014,66,653.154
Germany,2015,67,678.717
Germany,2016,66,706.324
Germany,2017,,731.077
Germany,2018,,738.147
Greece,2000,,
Greece,2001,,
Greece,2002,,
Greece,2003,,
Greece,2004,,
Greece,2005,,
