country,year,life_expectancy
AUS,2000,79.3
AUS,2001,79.7
AUS,2002,80
AUS,2003,80.3
AUS,2004,80.6
AUS,2005,80.9
AUS,2006,81.1
AUS,2007,81.4
AUS,2008,81.5
AUS,2009,81.6
AUS,2010,81.8
AUS,2011,82
AUS,2012,82.1
AUS,2013,82.2
AUS,2014,82.4
AUS,2015,82.5
AUS,2016,82.5
AUS,2017,82.6
AUT,2000,78.2
AUT,2001,78.7
AUT,2002,78.8
AUT,2003,78.7
AUT,2004,79.3
AUT,2005,79.4
AUT,2006,80
AUT,2007,80.3
AUT,2008,80.5
AUT,2009,80.4
AUT,2010,80.7
AUT,2011,81.1
AUT,2012,81
AUT,2013,81.2
AUT,2014,81.6
AUT,2015,81.3
AUT,2016,81.7
AUT,2017,81.7
BEL,2000,77.8
BEL,2001,78.1
BEL,2002,78.2
BEL,2003,78.2
BEL,2004,79
BEL,2005,79.1
BEL,2006,79.5
BEL,2007,79.9
BEL,2008,79.8
BEL,2009,80.1
BEL,2010,80.3
BEL,2011,80.7
BEL,2012,80.5
BEL,2013,80.7
BEL,2014,81.4
BEL,2015,81.1
BEL,2016,81.5
BEL,2017,81.6
CAN,2000,79
CAN,2001,79.2
CAN,2002,79.4
CAN,2003,79.6
CAN,2004,79.8
CAN,2005,80
CAN,2006,80.3
CAN,2007,80.4
CAN,2008,80.6
CAN,2009,80.8
CAN,2010,81.1
CAN,2011,81.3
CAN,2012,81.5
CAN,2013,81.7
CAN,2014,81.8
CAN,2015,81.9
CAN,2016,82
CAN,2017,82
CZE,2000,75.1
CZE,2001,75.3
CZE,2002,75.4
CZE,2003,75.3
CZE,2004,75.8
CZE,2005,76.1
CZE,2006,76.7
CZE,2007,77
CZE,2008,77.3
CZE,2009,77.4
CZE,2010,77.7
CZE,2011,78
CZE,2012,78.2
CZE,2013,78.3
CZE,2014,78.9
CZE,2015,78.7
CZE,2016,79.1
CZE,2017,79.1
DNK,2000,76.9
DNK,2001,77
DNK,2002,77.1
DNK,2003,77.4
DNK,2004,77.8
DNK,2005,78.3
DNK,2006,78.4
DNK,2007,78.4
DNK,2008,78.8
DNK,2009,79
DNK,2010,79.3
DNK,2011,79.9
DNK,2012,80.1
DNK,2013,80.4
DNK,2014,80.8
DNK,2015,80.8
DNK,2016,80.9
DNK,2017,81.2
FIN,2000,77.7
FIN,2001,78.2
FIN,2002,78.3
FIN,2003,78.5
FIN,2004,79
FIN,2005,79.1
FIN,2006,79.5
FIN,2007,79.6
FIN,2008,79.9
FIN,2009,80.1
FIN,2010,80.2
FIN,2011,80.6
FIN,2012,80.7
FIN,2013,81.1
FIN,2014,81.3
FIN,2015,81.6
FIN,2016,81.5
FIN,2017,81.7
FRA,2000,79.2
FRA,2001,79.3
FRA,2002,79.4
FRA,2003,79.3
FRA,2004,80.3
FRA,2005,80.4
FRA,2006,81
FRA,2007,81.2
FRA,2008,81.4
FRA,2009,81.5
FRA,2010,81.8
FRA,2011,82.3
FRA,2012,82.1
FRA,2013,82.3
FRA,2014,82.8
FRA,2015,82.4
FRA,2016,82.6
FRA,2017,82.6
DEU,2000,78.2
DEU,2001,78.5
DEU,2002,78.5
DEU,2003,78.6
DEU,2004,79.2
DEU,2005,79.4
DEU,2006,79.8
DEU,2007,80.1
DEU,2008,80.2
DEU,2009,80.3
DEU,2010,80.5
DEU,2011,80.5
DEU,2012,80.6
DEU,2013,80.6
DEU,2014,81.2
DEU,2015,80.7
DEU,2016,81.1
DEU,2017,81.1
GRC,2000,78.6
GRC,2001,79.1
GRC,2002,79.2
GRC,2003,79.3
GRC,2004,79.4
GRC,2005,79.7
GRC,2006,79.9
GRC,2007,79.7
GRC,2008,80.3
GRC,2009,80.4
GRC,2010,80.7
GRC,2011,80.8
GRC,2012,80.7
GRC,2013,81.4
GRC,2014,81.5
GRC,2015,81.1
GRC,2016,81.5
GRC,2017,81.4
HUN,2000,71.9
HUN,2001,72.5
HUN,2002,72.5
HUN,2003,72.6
HUN,2004,73
HUN,2005,73
HUN,2006,73.5
HUN,2007,73.6
HUN,2008,74.2
HUN,2009,74.4
HUN,2010,74.7
HUN,2011,75
HUN,2012,75.2
HUN,2013,75.7
HUN,2014,75.9
HUN,2015,75.7
HUN,2016,76.2
HUN,2017,75.9
ISL,2000,79.7
ISL,2001,80.8
ISL,2002,80.6
ISL,2003,81
ISL,2004,81.1
ISL,2005,81.6
ISL,2006,81.2
ISL,2007,81.5
ISL,2008,81.7
ISL,2009,81.8
ISL,2010,82
ISL,2011,82.4
ISL,2012,83
ISL,2013,82.1
ISL,2014,82.9
ISL,2015,82.5
ISL,2016,82.3
ISL,2017,82.7
IRL,2000,76.6
IRL,2001,77.2
IRL,2002,77.7
IRL,2003,78.2
IRL,2004,78.6
IRL,2005,79
IRL,2006,79.3
IRL,2007,79.7
IRL,2008,80.2
IRL,2009,80.3
IRL,2010,80.8
IRL,2011,80.8
IRL,2012,80.9
IRL,2013,81
IRL,2014,81.4
IRL,2015,81.5
IRL,2016,81.8
IRL,2017,82.2
ITA,2000,79.9
ITA,2001,80.2
ITA,2002,80.3
ITA,2003,80.1
ITA,2004,80.9
ITA,2005,80.9
ITA,2006,81.4
ITA,2007,81.5
ITA,2008,81.6
ITA,2009,81.7
ITA,2010,82.1
ITA,2011,82.3
ITA,2012,82.3
ITA,2013,82.8
ITA,2014,83.2
ITA,2015,82.6
ITA,2016,83.3
ITA,2017,83
JPN,2000,81.2
JPN,2001,81.5
JPN,2002,81.8
JPN,2003,81.8
JPN,2004,82.1
JPN,2005,82
JPN,2006,82.4
JPN,2007,82.6
JPN,2008,82.7
