"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2000","2000",82,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2001","2001",82.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2002","2002",82.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2003","2003",82.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2004","2004",83,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2005","2005",83.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2006","2006",83.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2007","2007",83.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2008","2008",83.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2009","2009",83.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2010","2010",84,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2011","2011",84.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2012","2012",84.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2013","2013",84.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2014","2014",84.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2015","2015",84.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2016","2016",84.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2017","2017",84.6,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2000","2000",43.3,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2001","2001",43.6,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2002","2002",43.7,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2003","2003",43.9,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2004","2004",44.1,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2005","2005",44.4,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2006","2006",44.5,,
