VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),JPN,Japan,2007,2007,45,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),JPN,Japan,2010,2010,43,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),JPN,Japan,2013,2013,49.1,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),JPN,Japan,2016,2016,49.2,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2005,2005,77,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2006,2006,74.4,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2007,2007,76.4,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2008,2008,76.6,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2009,2009,76.5,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2010,2010,76.7,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2011,2011,73.2,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2012,2012,78.7,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2013,2013,76,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2014,2014,78.5,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2015,2015,78.3,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2016,2016,77.1,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2017,2017,77.4,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2005,2005,71.7,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2006,2006,72,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2007,2007,72.3,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2008,2008,70,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2009,2009,70,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2010,2010,69.5,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2011,2011,68.7,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2012,2012,70,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2013,2013,68.6,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2014,2014,69.5,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2015,2015,69.8,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2016,2016,70.2,,
