"VAR","UNIT","COU","YEA","Value","Flag Codes"
"AVDMTRTM","TXCMILTX","DEU","2000",101,
"AVDMTRTM","TXCMILTX","DEU","2001",98,
"AVDMTRTM","TXCMILTX","DEU","2002",96,
"AVDMTRTM","TXCMILTX","DEU","2003",94,
"AVDMTRTM","TXCMILTX","DEU","2004",89,
"AVDMTRTM","TXCMILTX","DEU","2005",86,
"AVDMTRTM","TXCMILTX","DEU","2006",83,
"AVDMTRTM","TXCMILTX","DEU","2007",80,
"AVDMTRTM","TXCMILTX","DEU","2008",77,
"AVDMTRTM","TXCMILTX","DEU","2009",75,
"AVDMTRTM","TXCMILTX","DEU","2010",73,
"AVDMTRTM","TXCMILTX","DEU","2011",71,
"AVDMTRTM","TXCMILTX","DEU","2012",69,
"AVDMTRTM","TXCMILTX","DEU","2013",69,
"AVDMTRTM","TXCMILTX","DEU","2014",66,
"AVDMTRTM","TXCMILTX","DEU","2015",67,
"AVDMTRTM","TXCMILTX","DEU","2016",66,
"AVDMTRTM","TXCMILTX","GBR","2001",112,
"AVDMTRTM","TXCMILTX","GBR","2002",108,
"AVDMTRTM","TXCMILTX","GBR","2003",105,
"AVDMTRTM","TXCMILTX","GBR","2004",99,
"AVDMTRTM","TXCMILTX","GBR","2005",95,
"AVDMTRTM","TXCMILTX","GBR","2006",92,
"AVDMTRTM","TXCMILTX","GBR","2007",88,
"AVDMTRTM","TXCMILTX","GBR","2008",86,
"AVDMTRTM","TXCMILTX","GBR","2009",81,
"AVDMTRTM","TXCMILTX","GBR","2010",78,
"AVDMTRTM","TXCMILTX","GBR","2011",73,
"AVDMTRTM","TXCMILTX","GBR","2012",71,
"AVDMTRTM","TXCMILTX","GBR","2013",70,
"AVDMTRTM","TXCMILTX","GBR","2014",68,
"AVDMTRTM","TXCMILTX","GBR","2015",69,
"AVDMTRTM","TXCMILTX","GBR","2016",69,
"AVDMTRTM","TXCMILTX","USA","2000",116,
"AVDMTRTM","TXCMILTX","USA","2001",113,
"AVDMTRTM","TXCMILTX","USA","2002",112,
"AVDMTRTM","TXCMILTX","USA","2003",109,
"AVDMTRTM","TXCMILTX","USA","2004",104,
"AVDMTRTM","TXCMILTX","USA","2005",103,
"AVDMTRTM","TXCMILTX","USA","2006",100,
"AVDMTRTM","TXCMILTX","USA","2007",97,
"AVDMTRTM","TXCMILTX","USA","2008",96,
"AVDMTRTM","TXCMILTX","USA","2009",93,
"AVDMTRTM","TXCMILTX","USA","2010",90,
"AVDMTRTM","TXCMILTX","USA","2011",90,
"AVDMTRTM","TXCMILTX","USA","2012",87,
"AVDMTRTM","TXCMILTX","USA","2013",89,
"AVDMTRTM","TXCMILTX","USA","2014",88,
"AVDMTRTM","TXCMILTX","USA","2015",87,
"AVDMTRTM","TXCMILTX","USA","2016",88,
"AVDMTRTM","TXCMILTX","CAN","2000",86,
"AVDMTRTM","TXCMILTX","CAN","2001",83,
"AVDMTRTM","TXCMILTX","CAN","2002",81,
"AVDMTRTM","TXCMILTX","CAN","2003",80,
"AVDMTRTM","TXCMILTX","CAN","2004",77,
"AVDMTRTM","TXCMILTX","CAN","2005",76,
"AVDMTRTM","TXCMILTX","CAN","2006",72,
"AVDMTRTM","TXCMILTX","CAN","2007",72,
